% itn    run  time               r                   g
  1      1    0.35618E-02    0.3952847075E-01    0.0000000000E+00
  1      1    0.35618E-02    0.7905694150E-01    0.0000000000E+00
  1      1    0.35618E-02    0.1185854123E+00    0.0000000000E+00
  1      1    0.35618E-02    0.1581138830E+00    0.0000000000E+00
  1      1    0.35618E-02    0.1976423538E+00    0.0000000000E+00
  1      1    0.35618E-02    0.2371708245E+00    0.0000000000E+00
  1      1    0.35618E-02    0.2766992953E+00    0.0000000000E+00
  1      1    0.35618E-02    0.3162277660E+00    0.0000000000E+00
  1      1    0.35618E-02    0.3557562368E+00    0.0000000000E+00
  1      1    0.35618E-02    0.3952847075E+00    0.0000000000E+00
  1      1    0.35618E-02    0.4348131783E+00    0.0000000000E+00
  1      1    0.35618E-02    0.4743416490E+00    0.0000000000E+00
  1      1    0.35618E-02    0.5138701198E+00    0.0000000000E+00
  1      1    0.35618E-02    0.5533985905E+00    0.0000000000E+00
  1      1    0.35618E-02    0.5929270613E+00    0.0000000000E+00
  1      1    0.35618E-02    0.6324555320E+00    0.0000000000E+00
  1      1    0.35618E-02    0.6719840028E+00    0.0000000000E+00
  1      1    0.35618E-02    0.7115124735E+00    0.0000000000E+00
  1      1    0.35618E-02    0.7510409443E+00    0.0000000000E+00
  1      1    0.35618E-02    0.7905694150E+00    0.0000000000E+00
  1      1    0.35618E-02    0.8300978858E+00    0.0000000000E+00
  1      1    0.35618E-02    0.8696263565E+00    0.0000000000E+00
  1      1    0.35618E-02    0.9091548273E+00    0.0000000000E+00
  1      1    0.35618E-02    0.9486832981E+00    0.2889621662E-01
  1      1    0.35618E-02    0.9882117688E+00    0.5543355841E-01
  1      1    0.35618E-02    0.1027740240E+01    0.2662984669E-01
  1      1    0.35618E-02    0.1067268710E+01    0.1024997872E+00
  1      1    0.35618E-02    0.1106797181E+01    0.1481587834E+00
  1      1    0.35618E-02    0.1146325652E+01    0.7148011479E-01
  1      1    0.35618E-02    0.1185854123E+01    0.9207608007E-01
  1      1    0.35618E-02    0.1225382593E+01    0.6679289415E-01
  1      1    0.35618E-02    0.1264911064E+01    0.8622997975E-01
  1      1    0.35618E-02    0.1304439535E+01    0.1462593118E+00
  1      1    0.35618E-02    0.1343968006E+01    0.1013524016E+00
  1      1    0.35618E-02    0.1383496476E+01    0.2558780921E+00
  1      1    0.35618E-02    0.1423024947E+01    0.1338993700E+00
  1      1    0.35618E-02    0.1462553418E+01    0.5581324032E-01
  1      1    0.35618E-02    0.1502081889E+01    0.3621659149E-01
  1      1    0.35618E-02    0.1541610359E+01    0.3527590081E-01
  1      1    0.35618E-02    0.1581138830E+01    0.1719142001E-01
  1      1    0.35618E-02    0.1620667301E+01    0.1676694051E-01
  1      1    0.35618E-02    0.1660195772E+01    0.0000000000E+00
  1      1    0.35618E-02    0.1699724242E+01    0.1597790801E-01
  1      1    0.35618E-02    0.1739252713E+01    0.0000000000E+00
  1      1    0.35618E-02    0.1778781184E+01    0.0000000000E+00
  1      1    0.35618E-02    0.1818309655E+01    0.0000000000E+00
  1      1    0.35618E-02    0.1857838125E+01    0.0000000000E+00
  1      1    0.35618E-02    0.1897366596E+01    0.0000000000E+00
  1      1    0.35618E-02    0.1936895067E+01    0.0000000000E+00
  1      1    0.35618E-02    0.1976423538E+01    0.2743681174E-01
  1      1    0.35618E-02    0.2015952008E+01    0.1344675427E-01
  1      1    0.35618E-02    0.2055480479E+01    0.9229956570E-01
  1      1    0.35618E-02    0.2095008950E+01    0.1293449696E+00
  1      1    0.35618E-02    0.2134537421E+01    0.2030836906E+00
