% itn    run  time           vxave               vyave               vaverun
  1      1    0.12929E-03   -0.3393456446E+03    0.4978569509E+03    0.6025089295E+03
  1      2    0.25857E-03   -0.2142037274E+03    0.1785374633E+03    0.2788527616E+03
  1      3    0.38786E-03   -0.7073980283E+03    0.4816648748E+03    0.8558113238E+03
  1      4    0.51714E-03   -0.3861028971E+02    0.5755433771E+03    0.5768370077E+03
  1      5    0.64643E-03   -0.1914846118E+04   -0.1210383585E+04    0.2265317655E+04
  1      6    0.77571E-03   -0.2994408369E+03    0.6312710782E+03    0.6986901953E+03
  1      7    0.90500E-03    0.1196601580E+04   -0.1049261037E+04    0.1591478578E+04
  1      8    0.10343E-02   -0.3469964395E+03   -0.1489180151E+04    0.1529072939E+04
  1      9    0.11636E-02   -0.5096832780E+03    0.2836440267E+03    0.5832932176E+03
  1     10    0.12929E-02   -0.2760511916E+03   -0.3134988976E+03    0.4177149976E+03
  1     11    0.14221E-02   -0.1026610164E+04   -0.1186423503E+04    0.1568926116E+04
  1     12    0.15514E-02    0.5063525548E+03   -0.2534574375E+03    0.5662451610E+03
  1     13    0.16807E-02   -0.4543631831E+03    0.6640991312E+03    0.8046574167E+03
  1     14    0.18100E-02   -0.7006561617E+03   -0.3443024759E+03    0.7806812742E+03
  1     15    0.19393E-02   -0.6316280704E+03    0.5794889167E+03    0.8571822583E+03
  1     16    0.20686E-02   -0.1702142946E+03    0.1832238626E+04    0.1840128063E+04
  1     17    0.21979E-02   -0.1672053648E+03   -0.9833242125E+03    0.9974387905E+03
  1     18    0.23271E-02    0.1604204391E+04   -0.5517496211E+03    0.1696437259E+04
  1     19    0.24564E-02    0.6985058038E+03   -0.5305154471E+03    0.8771299776E+03
  1     20    0.25857E-02   -0.3960461916E+03   -0.1517225793E+03    0.4241135778E+03
  1     21    0.27150E-02    0.1573884404E+04    0.5214634391E+03    0.1658021784E+04
  1     22    0.28443E-02   -0.6395989773E+03    0.1370959276E+04    0.1512817302E+04
  1     23    0.29736E-02    0.1455198545E+04   -0.7225860960E+03    0.1624725660E+04
  1     24    0.31029E-02   -0.9581368280E+03   -0.2192240399E+03    0.9828964141E+03
  1     25    0.32321E-02   -0.6518252956E+03    0.9582246317E+03    0.1158909255E+04
  1     26    0.33614E-02    0.6931013750E+03   -0.6651645900E+02    0.6962858287E+03
  1     27    0.34907E-02    0.2662556166E+03    0.3246342618E+03    0.4198564723E+03
  1     28    0.36200E-02    0.1971147429E+03   -0.2188787471E+03    0.2945541169E+03
  1     29    0.37493E-02   -0.7774724652E+01   -0.9646336529E+03    0.9646649837E+03
  1     30    0.38786E-02    0.2460561112E+03    0.1458735596E+04    0.1479342133E+04
  1     31    0.40079E-02    0.8589069176E+03    0.8746402753E+03    0.1225853459E+04
  1     32    0.41371E-02    0.1150206762E+04   -0.4384103591E+03    0.1230926171E+04
  1     33    0.42664E-02   -0.1157563054E+04   -0.1558751522E+03    0.1168010825E+04
  1     34    0.43957E-02   -0.1094680053E+04    0.3465549642E+03    0.1148226790E+04
  1     35    0.45250E-02   -0.1270048195E+03   -0.1122120470E+04    0.1129284983E+04
  1     36    0.46543E-02   -0.9798897455E+03    0.1146865868E+04    0.1508471157E+04
  1     37    0.47836E-02    0.9183116417E+03   -0.2863496415E+03    0.9619211966E+03
  1     38    0.49129E-02   -0.1169571149E+03   -0.1013397574E+04    0.1020124311E+04
  1     39    0.50421E-02   -0.3329297411E+03    0.9795456060E+03    0.1034578082E+04
  1     40    0.51714E-02    0.1016073020E+04    0.8383363935E+03    0.1317274569E+04
  1     41    0.53007E-02    0.2052782276E+04   -0.7738317964E+03    0.2193793682E+04
  1     42    0.54300E-02    0.9259148042E+03   -0.9250254566E+03    0.1308812561E+04
  1     43    0.55593E-02   -0.1296886587E+04    0.3464515099E+03    0.1342364879E+04
  1     44    0.56886E-02   -0.1402106942E+04   -0.6276312058E+02    0.1403510986E+04
  1     45    0.58179E-02   -0.3657979386E+03   -0.5729920581E+03    0.6797999930E+03
  1     46    0.59471E-02    0.2589773926E+04   -0.1224416987E+04    0.2864633650E+04
  1     47    0.60764E-02    0.1657583520E+03    0.4773021800E+02    0.1724934925E+03
  1     48    0.62057E-02   -0.1036021175E+04   -0.5869890877E+03    0.1190754410E+04
  1     49    0.63350E-02   -0.1759409788E+04   -0.8304442474E+03    0.1945548882E+04
  1     50    0.64643E-02   -0.8075657959E+03   -0.2365516912E+03    0.8414981980E+03
