% itn    run  time           mean square displacement
  1      1    0.12929E-04    0.15224E-03
  1      2    0.25857E-04    0.54635E-03
  1      3    0.38786E-04    0.11808E-02
  1      4    0.51714E-04    0.19833E-02
  1      5    0.64643E-04    0.30282E-02
  1      6    0.77571E-04    0.41801E-02
  1      7    0.90500E-04    0.55571E-02
  1      8    0.10343E-03    0.71082E-02
  1      9    0.11636E-03    0.88628E-02
  1     10    0.12929E-03    0.10829E-01
  1     11    0.14221E-03    0.12888E-01
  1     12    0.15514E-03    0.15094E-01
  1     13    0.16807E-03    0.17576E-01
  1     14    0.18100E-03    0.20122E-01
  1     15    0.19393E-03    0.22786E-01
  1     16    0.20686E-03    0.25576E-01
  1     17    0.21979E-03    0.28391E-01
  1     18    0.23271E-03    0.31584E-01
  1     19    0.24564E-03    0.34778E-01
  1     20    0.25857E-03    0.38181E-01
  1     21    0.27150E-03    0.41910E-01
  1     22    0.28443E-03    0.45817E-01
  1     23    0.29736E-03    0.49756E-01
  1     24    0.31029E-03    0.53651E-01
  1     25    0.32321E-03    0.57711E-01
  1     26    0.33614E-03    0.62132E-01
  1     27    0.34907E-03    0.65956E-01
  1     28    0.36200E-03    0.69891E-01
  1     29    0.37493E-03    0.73595E-01
  1     30    0.38786E-03    0.77756E-01
  1     31    0.40079E-03    0.82319E-01
  1     32    0.41371E-03    0.87049E-01
  1     33    0.42664E-03    0.91047E-01
  1     34    0.43957E-03    0.95773E-01
  1     35    0.45250E-03    0.10004E+00
  1     36    0.46543E-03    0.10462E+00
  1     37    0.47836E-03    0.10977E+00
  1     38    0.49129E-03    0.11474E+00
  1     39    0.50421E-03    0.11995E+00
  1     40    0.51714E-03    0.12522E+00
  1     41    0.53007E-03    0.13049E+00
  1     42    0.54300E-03    0.13558E+00
  1     43    0.55593E-03    0.14105E+00
  1     44    0.56886E-03    0.14640E+00
  1     45    0.58179E-03    0.15230E+00
  1     46    0.59471E-03    0.15800E+00
  1     47    0.60764E-03    0.16374E+00
  1     48    0.62057E-03    0.16961E+00
  1     49    0.63350E-03    0.17541E+00
  1     50    0.64643E-03    0.18159E+00
  1     51    0.65936E-03    0.18724E+00
  1     52    0.67229E-03    0.19386E+00
  1     53    0.68521E-03    0.20027E+00
  1     54    0.69814E-03    0.20697E+00
  1     55    0.71107E-03    0.21326E+00
  1     56    0.72400E-03    0.22016E+00
  1     57    0.73693E-03    0.22641E+00
  1     58    0.74986E-03    0.23352E+00
  1     59    0.76279E-03    0.23983E+00
  1     60    0.77571E-03    0.24683E+00
  1     61    0.78864E-03    0.25412E+00
  1     62    0.80157E-03    0.26094E+00
  1     63    0.81450E-03    0.26780E+00
  1     64    0.82743E-03    0.27488E+00
  1     65    0.84036E-03    0.28152E+00
  1     66    0.85329E-03    0.28834E+00
  1     67    0.86621E-03    0.29617E+00
  1     68    0.87914E-03    0.30342E+00
  1     69    0.89207E-03    0.31075E+00
  1     70    0.90500E-03    0.31740E+00
  1     71    0.91793E-03    0.32429E+00
  1     72    0.93086E-03    0.33107E+00
  1     73    0.94379E-03    0.33891E+00
  1     74    0.95671E-03    0.34665E+00
  1     75    0.96964E-03    0.35409E+00
  1     76    0.98257E-03    0.36099E+00
  1     77    0.99550E-03    0.36842E+00
  1     78    0.10084E-02    0.37639E+00
  1     79    0.10214E-02    0.38488E+00
  1     80    0.10343E-02    0.39286E+00
  1     81    0.10472E-02    0.39993E+00
  1     82    0.10601E-02    0.40765E+00
  1     83    0.10731E-02    0.41528E+00
  1     84    0.10860E-02    0.42342E+00
  1     85    0.10989E-02    0.43039E+00
  1     86    0.11119E-02    0.43739E+00
  1     87    0.11248E-02    0.44480E+00
  1     88    0.11377E-02    0.45289E+00
  1     89    0.11506E-02    0.46015E+00
  1     90    0.11636E-02    0.46771E+00
  1     91    0.11765E-02    0.47563E+00
  1     92    0.11894E-02    0.48325E+00
  1     93    0.12024E-02    0.49216E+00
  1     94    0.12153E-02    0.49966E+00
  1     95    0.12282E-02    0.50786E+00
  1     96    0.12411E-02    0.51665E+00
  1     97    0.12541E-02    0.52536E+00
  1     98    0.12670E-02    0.53368E+00
  1     99    0.12799E-02    0.54180E+00
  1    100    0.12929E-02    0.55017E+00


