% itn    run  time           mean square displacement
  1      1    0.12929E-04    0.65405E-01
  1      2    0.25857E-04    0.66369E-01
  1      3    0.38786E-04    0.67823E-01
  1      4    0.51714E-04    0.69541E-01
  1      5    0.64643E-04    0.71377E-01
  1      6    0.77571E-04    0.73654E-01
  1      7    0.90500E-04    0.76090E-01
  1      8    0.10343E-03    0.78740E-01
  1      9    0.11636E-03    0.81697E-01
  1     10    0.12929E-03    0.85110E-01
  1     11    0.14221E-03    0.88489E-01
  1     12    0.15514E-03    0.92318E-01
  1     13    0.16807E-03    0.96381E-01
  1     14    0.18100E-03    0.10062E+00
  1     15    0.19393E-03    0.10525E+00
  1     16    0.20686E-03    0.10985E+00
  1     17    0.21979E-03    0.11466E+00
  1     18    0.23271E-03    0.11964E+00
  1     19    0.24564E-03    0.12488E+00
  1     20    0.25857E-03    0.13019E+00
  1     21    0.27150E-03    0.13594E+00
  1     22    0.28443E-03    0.14162E+00
  1     23    0.29736E-03    0.14753E+00
  1     24    0.31029E-03    0.15333E+00
  1     25    0.32321E-03    0.15942E+00
  1     26    0.33614E-03    0.16556E+00
  1     27    0.34907E-03    0.17195E+00
  1     28    0.36200E-03    0.17830E+00
  1     29    0.37493E-03    0.18462E+00
  1     30    0.38786E-03    0.19145E+00
  1     31    0.40079E-03    0.19834E+00
  1     32    0.41371E-03    0.20546E+00
  1     33    0.42664E-03    0.21231E+00
  1     34    0.43957E-03    0.21945E+00
  1     35    0.45250E-03    0.22670E+00
  1     36    0.46543E-03    0.23399E+00
  1     37    0.47836E-03    0.24196E+00
  1     38    0.49129E-03    0.24961E+00
  1     39    0.50421E-03    0.25752E+00
  1     40    0.51714E-03    0.26516E+00
  1     41    0.53007E-03    0.27319E+00
  1     42    0.54300E-03    0.28121E+00
  1     43    0.55593E-03    0.28963E+00
  1     44    0.56886E-03    0.29828E+00
  1     45    0.58179E-03    0.30602E+00
  1     46    0.59471E-03    0.31452E+00
  1     47    0.60764E-03    0.32276E+00
  1     48    0.62057E-03    0.33153E+00
  1     49    0.63350E-03    0.34094E+00
  1     50    0.64643E-03    0.35000E+00
  1     51    0.65936E-03    0.35928E+00
  1     52    0.67229E-03    0.36861E+00
  1     53    0.68521E-03    0.37690E+00
  1     54    0.69814E-03    0.38602E+00
  1     55    0.71107E-03    0.39453E+00
  1     56    0.72400E-03    0.40339E+00
  1     57    0.73693E-03    0.41236E+00
  1     58    0.74986E-03    0.42155E+00
  1     59    0.76279E-03    0.43095E+00
  1     60    0.77571E-03    0.44062E+00
  1     61    0.78864E-03    0.44964E+00
  1     62    0.80157E-03    0.45863E+00
  1     63    0.81450E-03    0.46773E+00
  1     64    0.82743E-03    0.47756E+00
  1     65    0.84036E-03    0.48704E+00
  1     66    0.85329E-03    0.49613E+00
  1     67    0.86621E-03    0.50565E+00
  1     68    0.87914E-03    0.51552E+00
  1     69    0.89207E-03    0.52544E+00
  1     70    0.90500E-03    0.53526E+00
  1     71    0.91793E-03    0.54502E+00
  1     72    0.93086E-03    0.55515E+00
  1     73    0.94379E-03    0.56536E+00
  1     74    0.95671E-03    0.57519E+00
  1     75    0.96964E-03    0.58462E+00
  1     76    0.98257E-03    0.59380E+00
  1     77    0.99550E-03    0.60304E+00
  1     78    0.10084E-02    0.61241E+00
  1     79    0.10214E-02    0.62191E+00
  1     80    0.10343E-02    0.63117E+00
  1     81    0.10472E-02    0.64071E+00
  1     82    0.10601E-02    0.64931E+00
  1     83    0.10731E-02    0.65874E+00
  1     84    0.10860E-02    0.66777E+00
  1     85    0.10989E-02    0.67776E+00
  1     86    0.11119E-02    0.68725E+00
  1     87    0.11248E-02    0.69634E+00
  1     88    0.11377E-02    0.70566E+00
  1     89    0.11506E-02    0.71557E+00
  1     90    0.11636E-02    0.72578E+00
  1     91    0.11765E-02    0.73605E+00
  1     92    0.11894E-02    0.74589E+00
  1     93    0.12024E-02    0.75578E+00
  1     94    0.12153E-02    0.76565E+00
  1     95    0.12282E-02    0.77640E+00
  1     96    0.12411E-02    0.78646E+00
  1     97    0.12541E-02    0.79613E+00
  1     98    0.12670E-02    0.80602E+00
  1     99    0.12799E-02    0.81533E+00
  1    100    0.12929E-02    0.82432E+00


