% itn    run  time               r                   g
  1      1    0.35618E-02    0.3952847075E-01    0.0000000000E+00
  1      1    0.35618E-02    0.7905694150E-01    0.0000000000E+00
  1      1    0.35618E-02    0.1185854123E+00    0.0000000000E+00
  1      1    0.35618E-02    0.1581138830E+00    0.0000000000E+00
  1      1    0.35618E-02    0.1976423538E+00    0.0000000000E+00
  1      1    0.35618E-02    0.2371708245E+00    0.0000000000E+00
  1      1    0.35618E-02    0.2766992953E+00    0.0000000000E+00
  1      1    0.35618E-02    0.3162277660E+00    0.0000000000E+00
  1      1    0.35618E-02    0.3557562368E+00    0.0000000000E+00
  1      1    0.35618E-02    0.3952847075E+00    0.0000000000E+00
  1      1    0.35618E-02    0.4348131783E+00    0.0000000000E+00
  1      1    0.35618E-02    0.4743416490E+00    0.0000000000E+00
  1      1    0.35618E-02    0.5138701198E+00    0.0000000000E+00
  1      1    0.35618E-02    0.5533985905E+00    0.0000000000E+00
  1      1    0.35618E-02    0.5929270613E+00    0.0000000000E+00
  1      1    0.35618E-02    0.6324555320E+00    0.0000000000E+00
  1      1    0.35618E-02    0.6719840028E+00    0.4115521761E-01
  1      1    0.35618E-02    0.7115124735E+00    0.3880349089E-01
  1      1    0.35618E-02    0.7510409443E+00    0.0000000000E+00
  1      1    0.35618E-02    0.7905694150E+00    0.3482364567E-01
  1      1    0.35618E-02    0.8300978858E+00    0.0000000000E+00
  1      1    0.35618E-02    0.8696263565E+00    0.3158423677E-01
  1      1    0.35618E-02    0.9091548273E+00    0.3018049291E-01
  1      1    0.35618E-02    0.9486832981E+00    0.1155848665E+00
  1      1    0.35618E-02    0.9882117688E+00    0.5543355841E-01
  1      1    0.35618E-02    0.1027740240E+01    0.5325969337E-01
  1      1    0.35618E-02    0.1067268710E+01    0.5124989362E-01
  1      1    0.35618E-02    0.1106797181E+01    0.9877252226E-01
  1      1    0.35618E-02    0.1146325652E+01    0.4765340986E-01
  1      1    0.35618E-02    0.1185854123E+01    0.9207608007E-01
  1      1    0.35618E-02    0.1225382593E+01    0.1558500864E+00
  1      1    0.35618E-02    0.1264911064E+01    0.8622997975E-01
  1      1    0.35618E-02    0.1304439535E+01    0.6268256220E-01
  1      1    0.35618E-02    0.1343968006E+01    0.6081144094E-01
  1      1    0.35618E-02    0.1383496476E+01    0.9841465080E-01
  1      1    0.35618E-02    0.1423024947E+01    0.3825696285E-01
  1      1    0.35618E-02    0.1462553418E+01    0.7441765376E-01
  1      1    0.35618E-02    0.1502081889E+01    0.7243318299E-01
  1      1    0.35618E-02    0.1541610359E+01    0.1763795040E-01
  1      1    0.35618E-02    0.1581138830E+01    0.6876568005E-01
  1      1    0.35618E-02    0.1620667301E+01    0.1676694051E-01
  1      1    0.35618E-02    0.1660195772E+01    0.0000000000E+00
  1      1    0.35618E-02    0.1699724242E+01    0.4793372404E-01
  1      1    0.35618E-02    0.1739252713E+01    0.4683179935E-01
  1      1    0.35618E-02    0.1778781184E+01    0.6103919915E-01
  1      1    0.35618E-02    0.1818309655E+01    0.7462209786E-01
  1      1    0.35618E-02    0.1857838125E+01    0.2920692862E-01
  1      1    0.35618E-02    0.1897366596E+01    0.5718409183E-01
  1      1    0.35618E-02    0.1936895067E+01    0.7000629799E-01
  1      1    0.35618E-02    0.1976423538E+01    0.5487362348E-01
  1      1    0.35618E-02    0.2015952008E+01    0.8068052561E-01
  1      1    0.35618E-02    0.2055480479E+01    0.5274260897E-01
  1      1    0.35618E-02    0.2095008950E+01    0.9054147874E-01
  1      1    0.35618E-02    0.2134537421E+01    0.1650054986E+00
