% run    par  time              vx                  vy
  1      1    0.35618E-02   -0.8360545698E+03    0.8412714281E+03
  1      2    0.35618E-02    0.2456870110E+04    0.1650874211E+04
  1      3    0.35618E-02   -0.1943024121E+04   -0.2648297514E+03
  1      4    0.35618E-02    0.5000752734E+03    0.3021064134E+04
  1      5    0.35618E-02   -0.3829100338E+04    0.3478765486E+04
  1      6    0.35618E-02    0.2259628204E+04    0.9860501710E+03
  1      7    0.35618E-02    0.4628867581E+04    0.2074104829E+04
  1      8    0.35618E-02   -0.3261212052E+03    0.5762978247E+04
  1      9    0.35618E-02    0.2993291645E+03   -0.8326926482E+03
  1     10    0.35618E-02   -0.3123507233E+04   -0.3138508111E+03
  1     11    0.35618E-02   -0.2544699519E+04    0.9421129398E+03
  1     12    0.35618E-02    0.3324239939E+04   -0.3525618520E+03
  1     13    0.35618E-02   -0.6577699856E+03    0.6928468460E+03
  1     14    0.35618E-02    0.2030680034E+04   -0.9741847204E+03
  1     15    0.35618E-02   -0.2614560415E+04   -0.2640147096E+03
  1     16    0.35618E-02   -0.4987045541E+03   -0.3392511607E+04
  1     17    0.35618E-02   -0.7749130451E+03   -0.2300627553E+04
  1     18    0.35618E-02   -0.2172032199E+04   -0.2253419978E+04
  1     19    0.35618E-02   -0.1796195878E+04   -0.4247089669E+04
  1     20    0.35618E-02   -0.5026606499E+03    0.2266075261E+04
  1     21    0.35618E-02    0.1514688387E+04    0.2050447475E+04
  1     22    0.35618E-02   -0.7014466396E+03    0.8993935757E+03
  1     23    0.35618E-02    0.1236214357E+04    0.4281380780E+04
  1     24    0.35618E-02    0.5668331572E+03    0.3440130776E+04
  1     25    0.35618E-02   -0.2965768953E+04   -0.4045690019E+03
  1     26    0.35618E-02    0.1039668513E+04   -0.5005902433E+04
  1     27    0.35618E-02    0.2169240109E+04   -0.3784449609E+03
  1     28    0.35618E-02    0.1561013371E+04   -0.8460629678E+03
  1     29    0.35618E-02   -0.2104908931E+04   -0.4097150029E+04
  1     30    0.35618E-02    0.7982922568E+03   -0.2063333429E+04
  1     31    0.35618E-02   -0.2776000258E+04    0.2592017534E+04
  1     32    0.35618E-02   -0.7632337555E+03    0.2510055152E+04
  1     33    0.35618E-02   -0.1266484668E+04    0.1092479300E+04
  1     34    0.35618E-02   -0.1607454347E+04   -0.8059932322E+02
  1     35    0.35618E-02    0.8616465674E+03    0.5213082245E+04
  1     36    0.35618E-02   -0.1346706728E+04    0.9971396507E+03
  1     37    0.35618E-02    0.2082955956E+04    0.5351903264E+04
  1     38    0.35618E-02   -0.2257673843E+04   -0.3529924093E+04
  1     39    0.35618E-02   -0.5345385419E+04   -0.1210807955E+04
  1     40    0.35618E-02    0.3415072733E+03    0.1023555273E+04
  1     41    0.35618E-02   -0.3553041397E+03   -0.1642743955E+04
  1     42    0.35618E-02    0.1764316379E+04    0.2206381403E+04
  1     43    0.35618E-02    0.2461712930E+03    0.4394793053E+03
  1     44    0.35618E-02    0.1538828010E+04   -0.1028093903E+04
  1     45    0.35618E-02   -0.1368240405E+04    0.6176448947E+04
  1     46    0.35618E-02   -0.4746582624E+03    0.1052570606E+04
  1     47    0.35618E-02    0.2097691964E+04   -0.3824107159E+04
  1     48    0.35618E-02    0.3737037059E+04    0.2962375918E+04
  1     49    0.35618E-02    0.2099599873E+04    0.8365130855E+03
  1     50    0.35618E-02    0.3486552200E+04   -0.3633040647E+03
  1     51    0.35618E-02    0.1225869187E+04    0.1390390554E+04
  1     52    0.35618E-02    0.2237865467E+04    0.1981451767E+03
  1     53    0.35618E-02   -0.7798922151E+03   -0.4019201340E+04
  1     54    0.35618E-02    0.2122544702E+04   -0.1587127397E+04
  1     55    0.35618E-02   -0.4230623510E+04    0.2605915798E+04
  1     56    0.35618E-02    0.1833337206E+04   -0.2400307940E+04
  1     57    0.35618E-02    0.1671126226E+04    0.2721158334E+04
  1     58    0.35618E-02    0.3870201338E+04    0.1210837783E+04
  1     59    0.35618E-02    0.7152075232E+02    0.3230609857E+04
  1     60    0.35618E-02    0.1470385872E+04    0.9726763011E+03
  1     61    0.35618E-02   -0.1135680024E+03   -0.2651570322E+04
  1     62    0.35618E-02    0.1402935083E+03    0.1062441105E+04
  1     63    0.35618E-02    0.1892137118E+04   -0.4041941689E+04
  1     64    0.35618E-02    0.7926903729E+03    0.1011723037E+04
  1     65    0.35618E-02    0.1494300017E+04   -0.1182975585E+04
  1     66    0.35618E-02   -0.5969098126E+03    0.4872476842E+03
  1     67    0.35618E-02    0.5780576547E+03   -0.7186800223E+04
  1     68    0.35618E-02   -0.2959470602E+04   -0.8894719671E+03
  1     69    0.35618E-02   -0.2847342133E+04   -0.5163571414E+03
  1     70    0.35618E-02   -0.2008551216E+04    0.1617421859E+03
  1     71    0.35618E-02   -0.2206911333E+04   -0.3708061780E+04
  1     72    0.35618E-02   -0.2543628974E+04   -0.1054536054E+04
  1     73    0.35618E-02    0.4697630291E+04    0.4994320568E+04
  1     74    0.35618E-02   -0.2342227516E+04   -0.1155860272E+04
  1     75    0.35618E-02   -0.2604595646E+04   -0.1859390731E+04
  1     76    0.35618E-02    0.2378865200E+03    0.3970451635E+04
  1     77    0.35618E-02   -0.5709594453E+03    0.1745923991E+04
  1     78    0.35618E-02    0.2854409856E+04    0.1147885309E+04
  1     79    0.35618E-02    0.2351696892E+04   -0.1116654836E+03
  1     80    0.35618E-02    0.2140661954E+04   -0.1189767827E+04
  1     81    0.35618E-02    0.1861768551E+04    0.7612511147E+03
  1     82    0.35618E-02    0.1304852976E+04    0.1874705213E+04
  1     83    0.35618E-02    0.1035465566E+04    0.1408309168E+03
  1     84    0.35618E-02    0.3406386956E+04    0.2148817084E+04
  1     85    0.35618E-02    0.3082065111E+04   -0.9874413482E+03
  1     86    0.35618E-02   -0.1265927223E+04   -0.1058487707E+04
  1     87    0.35618E-02   -0.2946786008E+04    0.6996736711E+03
  1     88    0.35618E-02   -0.1409162758E+04    0.2572651245E+04
  1     89    0.35618E-02   -0.3086277517E+04   -0.2425637919E+04
  1     90    0.35618E-02    0.2789961821E+04    0.1396624461E+04
  1     91    0.35618E-02    0.7564334625E+02    0.3013271622E+04
  1     92    0.35618E-02    0.5999280685E+03    0.1570707910E+04
  1     93    0.35618E-02   -0.3129894156E+02    0.3450435422E+03
  1     94    0.35618E-02    0.3504882295E+04   -0.1922042201E+04
  1     95    0.35618E-02    0.2914236297E+04   -0.1707386203E+04
  1     96    0.35618E-02    0.1575324425E+04   -0.3993433840E+04
  1     97    0.35618E-02   -0.4499828462E+04   -0.1803913488E+04
  1     98    0.35618E-02    0.3009935577E+04   -0.7869285243E+02
  1     99    0.35618E-02    0.1850139539E+04    0.1106910314E+04
  1    100    0.35618E-02   -0.4258115989E+04   -0.1044419907E+04
  1    101    0.35618E-02    0.1178045426E+04   -0.2015728457E+04
  1    102    0.35618E-02   -0.1476551995E+04    0.1574077522E+04
